total_coordination,water_coordination,protein_coordination,geometry
9,1,8,tricapped_trigonal_prismatic
6,1,5,octahedral
9,1,8,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
5,1,4,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
6,1,5,octahedral
5,0,5,trigonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
5,1,4,trigonal_bipyramidal
8,1,7,square_antiprismatic
4,0,4,square_planar
5,1,4,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
5,1,4,trigonal_bipyramidal
6,0,6,octahedral
6,0,6,octahedral
6,0,6,octahedral
6,0,6,octahedral
7,0,7,pentagonal_bipyramidal
8,1,7,square_antiprismatic
6,0,6,octahedral
6,0,6,octahedral
9,1,8,tricapped_trigonal_prismatic
6,0,6,octahedral
6,0,6,octahedral
6,0,6,octahedral
4,1,3,distorted_tetrahedral
6,0,6,octahedral
8,1,7,square_antiprismatic
6,1,5,octahedral
6,1,5,octahedral
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
6,1,5,octahedral
6,1,5,octahedral
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
5,1,4,trigonal_bipyramidal
4,0,4,distorted_tetrahedral
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
5,1,4,trigonal_bipyramidal
4,0,4,square_planar
9,1,8,tricapped_trigonal_prismatic
4,0,4,distorted_tetrahedral
5,0,5,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
4,0,4,distorted_tetrahedral
8,1,7,square_antiprismatic
4,0,4,distorted_tetrahedral
7,0,7,pentagonal_bipyramidal
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
4,0,4,square_planar
5,1,4,trigonal_bipyramidal
8,1,7,square_antiprismatic
4,0,4,square_planar
4,0,4,distorted_tetrahedral
7,1,6,pentagonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
8,1,7,square_antiprismatic
4,0,4,distorted_tetrahedral
5,0,5,trigonal_bipyramidal
6,1,5,octahedral
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
8,1,7,square_antiprismatic
6,1,5,octahedral
5,0,5,trigonal_bipyramidal
5,0,5,trigonal_bipyramidal
5,0,5,trigonal_bipyramidal
5,0,5,trigonal_bipyramidal
6,0,6,octahedral
6,0,6,octahedral
7,0,7,pentagonal_bipyramidal
5,1,4,trigonal_bipyramidal
5,0,5,trigonal_bipyramidal
6,0,6,octahedral
5,0,5,trigonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
5,0,5,trigonal_bipyramidal
5,0,5,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
6,0,6,octahedral
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
5,0,5,trigonal_bipyramidal
6,0,6,octahedral
6,0,6,octahedral
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
6,0,6,octahedral
5,0,5,trigonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
7,0,7,pentagonal_bipyramidal
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
6,0,6,octahedral
7,1,6,pentagonal_bipyramidal
6,0,6,octahedral
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
5,1,4,trigonal_bipyramidal
4,0,4,distorted_tetrahedral
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
5,0,5,trigonal_bipyramidal
6,1,5,octahedral
5,0,5,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
4,0,4,distorted_tetrahedral
4,0,4,square_planar
6,1,5,octahedral
4,0,4,distorted_tetrahedral
6,1,5,octahedral
6,1,5,octahedral
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
6,1,5,octahedral
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
6,1,5,octahedral
5,0,5,trigonal_bipyramidal
7,0,7,pentagonal_bipyramidal
4,0,4,square_planar
6,0,6,octahedral
5,0,5,trigonal_bipyramidal
6,0,6,octahedral
5,0,5,trigonal_bipyramidal
8,2,6,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
10,1,9,high_coordination_10
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
5,1,4,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
8,1,7,square_antiprismatic
6,1,5,octahedral
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
6,0,6,octahedral
6,0,6,octahedral
7,0,7,pentagonal_bipyramidal
8,0,8,square_antiprismatic
6,0,6,octahedral
5,0,5,trigonal_bipyramidal
7,0,7,pentagonal_bipyramidal
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
7,0,7,pentagonal_bipyramidal
8,0,8,square_antiprismatic
8,0,8,square_antiprismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
8,0,8,square_antiprismatic
8,0,8,square_antiprismatic
8,0,8,square_antiprismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,0,8,square_antiprismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
9,1,8,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
6,1,5,octahedral
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
8,1,7,square_antiprismatic
9,2,7,tricapped_trigonal_prismatic
6,1,5,octahedral
6,1,5,octahedral
6,1,5,octahedral
6,1,5,octahedral
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
4,1,3,distorted_tetrahedral
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
5,1,4,trigonal_bipyramidal
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
6,1,5,octahedral
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
8,1,7,square_antiprismatic
7,1,6,pentagonal_bipyramidal
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
6,1,5,octahedral
6,1,5,octahedral
6,1,5,octahedral
6,1,5,octahedral
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
6,1,5,octahedral
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
10,2,8,high_coordination_10
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
8,1,7,square_antiprismatic
8,1,7,square_antiprismatic
6,1,5,octahedral
6,1,5,octahedral
5,1,4,trigonal_bipyramidal
4,1,3,distorted_tetrahedral
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
7,1,6,pentagonal_bipyramidal
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
8,2,6,square_antiprismatic
5,1,4,trigonal_bipyramidal
5,1,4,trigonal_bipyramidal
6,1,5,octahedral
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
10,2,8,high_coordination_10
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
8,2,6,square_antiprismatic
8,2,6,square_antiprismatic
9,2,7,tricapped_trigonal_prismatic
8,2,6,square_antiprismatic
8,2,6,square_antiprismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
5,1,4,trigonal_bipyramidal
8,2,6,square_antiprismatic
8,2,6,square_antiprismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
9,2,7,tricapped_trigonal_prismatic
